Batch,Path,Status,Change,Purpose,Class,Security,Risk,Carry,Evidence
1,.gitattributes,A,Added gitattributes for line endings and binary files,Configure consistent line endings across platforms,CONFIG,NONE,LOW: Standard git config,YES,"text=auto eol=lf, binary file patterns"
1,.gitignore,M,Updated ignore patterns for build artifacts and temp files,Clean up repository ignore rules,CONFIG,NONE,LOW: Ignore file maintenance,YES,"Removed OS/IDE entries, added session scripts"
1,configs/openjarvis/config.toml,M,"Switched to remote Ollama, added speech/TTS config",Reconfigure for remote inference and voice features,CONFIG,"NETWORK,EXTERNAL-API",MEDIUM: Remote model endpoint change,YES,"engine.ollama.host=172.16.33.200, speech/tts sections"
1,deploy/posthog/posthog-hetzner-prep.sh,M,Changed file mode from executable to regular,Fix script permissions,CONFIG,NONE,LOW: Permission change only,NO,mode 100755 -> 100644
1,frontend/apply-api-auth.ps1,A,PowerShell script to add API key auth to frontend,Add authentication support to settings and API calls,FEATURE,"AUTH,SECRETS",MEDIUM: Modifies auth flow,NO,"Updates store.ts, SettingsPanel.tsx, api.ts"
1,frontend/build_output.txt,A,Binary build output file,Build artifact,INSTRUMENTATION,NONE,LOW: Build artifact,NO,Binary file
1,frontend/chat-test.json,A,Test JSON for chat API,API test payload,INSTRUMENTATION,NONE,LOW: Test file,NO,Sample request with qwen3.6:27b
1,frontend/check-configuration.ps1,A,PowerShell script to verify Tauri/backend config,Validate deployment configuration,INSTRUMENTATION,NETWORK,LOW: Diagnostic script,NO,"Checks Tauri config, backend, env vars"
1,frontend/fix_interface.ps1,A,PowerShell script to fix store.ts interface,Add persist parameter to updateLastAssistant,BUGFIX,NONE,LOW: Interface fix,NO,updateLastAssistant signature
1,frontend/inspect-retrieval.ps1,A,Empty PowerShell script placeholder,Placeholder for retrieval inspection,UNCLEAR,NONE,LOW: Empty file,NO,Zero-byte file
1,frontend/package.json,M,Updated dependencies and version,Dependency updates and version bump,CONFIG,NONE,LOW: Version and deps,YES,"@tauri-apps/api 2.11.0, posthog-js 1.381.0"
1,frontend/patch_chatarea_ttsdbg.py,A,Python script to instrument ChatArea TTS,Debug TTS driver effect timing,INSTRUMENTATION,NONE,LOW: Temporary debug,NO,"Adds console.log at lines 119, 144"
1,frontend/patch_ttsplayer_firstunit.py,A,Python script to bound first TTS unit size,Optimize time-to-first-audio,FEATURE,TOOL-EXECUTION,MEDIUM: Modifies TTS splitting logic,NO,splitIntoUnits function lines 177-182
1,frontend/scripts/inject-cachebuster.mjs,A,Script to inject cache buster into Tauri config,Force frontend refresh on deploy,CONFIG,NONE,LOW: Build script,YES,Modifies tauri.conf.json window.url
1,frontend/src-tauri/Cargo.toml,M,Pinned Tauri version and updated app version,Version pinning and metadata,CONFIG,NONE,LOW: Dependency pin,YES,"tauri = ""=2.11.0"", version 0.1.0"
1,frontend/src-tauri/scripts/download-ollama.sh,M,Changed script mode to non-executable,Fix script permissions,CONFIG,NONE,LOW: Permission change,NO,mode 100755 -> 100644
1,frontend/src-tauri/src/lib.rs,M,Major backend startup rewrite with remote Ollama support,"Support remote inference, env loading, model mgmt",FEATURE,"NETWORK,SUBPROCESS,SECRETS",HIGH: Process management changes,YES,"load_env_file, is_remote_ollama, boot_backend"
1,frontend/src-tauri/tauri.conf.json,M,"Updated CSP, frontendDist, disabled updater",Security and build config changes,CONFIG,"CORS-CSP,NETWORK",MEDIUM: CSP and dist path changes,YES,frontendDist=../../src/openjarvis/server/static
1,frontend/src-tauri/test_read.txt,A,Test file for file_write verification,Verify file write capability,INSTRUMENTATION,FILESYSTEM-WRITE,LOW: Test file,NO,Simple test content
1,frontend/src/App.tsx,M,"Removed analytics, added ConfirmPrompt","Remove telemetry, add confirmation UI",FEATURE,CONFIRMATION-GATE,MEDIUM: Removed analytics tracking,YES,"Removed track/hashId imports, added ConfirmPrompt"
1,frontend/src/audio/ttsPlayer.ts,A,New TTS playback engine with keepalive,AudioContext persistence for first-word fix,FEATURE,TOOL-EXECUTION,HIGH: New audio architecture,YES,"AudioContext, keepalive, splitIntoUnits, pump"
1,frontend/src/audio/worklet/PCMProcessor.js,A,AudioWorklet for 16kHz mono resampling,Speech streaming audio processing,FEATURE,TOOL-EXECUTION,MEDIUM: New audio worklet,YES,"PCMProcessor class, resampleGenerator"
1,frontend/src/components/Chat/ChatArea.tsx,M,"Major rewrite with TTS driver, probe, stop logic","Unified TTS, main-thread probe, stop streaming",FEATURE,"TOOL-EXECUTION,CONFIRMATION-GATE",HIGH: Core chat logic rewrite,YES,"stopStreaming, toggleMute, TTS effect, probe"
1,frontend/src/components/Chat/ConfirmPrompt.tsx,A,Confirmation UI for tool execution,Tool confirmation gate UI,FEATURE,CONFIRMATION-GATE,HIGH: New security gate,YES,tool_confirm_request/resolved handling
1,frontend/src/components/Chat/InputArea.tsx,M,"Complete rewrite with speech streaming, attachments","WebSocket STT, file upload, agent selector",FEATURE,"TOOL-EXECUTION,NETWORK",HIGH: Input system overhaul,YES,"useSpeechStream, handleFiles, sendWithAttachments"
1,frontend/src/components/Chat/InputArea.tsx.broken,A,Corrupted backup file,Broken backup artifact,UNCLEAR,NONE,LOW: Corrupted file,NO,Contains ArrayListEnumeratorSimple
1,frontend/src/components/Chat/MessageBubble.tsx,M,"Added numbered option buttons, removed research","Interactive option selection, simplified rendering",FEATURE,UI,MEDIUM: New interaction pattern,YES,"parseNumberedOptions, NumberedOptionButtons"
1,frontend/src/components/Chat/SystemPanel.tsx,M,Removed liveEnergy from power/energy display,Use polled energy only,BUGFIX,NONE,LOW: Display fix,YES,"energy?.avg_power_w, energy?.total_energy_j"
1,frontend/src/components/Chat/ToolCallCard.tsx,M,"Fixed latency display (seconds not ms), JSON args",Correct tool call metadata display,BUGFIX,NONE,LOW: Display correction,YES,"latency < 1 check, JSON.stringify args"
1,frontend/src/components/Chat/XRayFooter.tsx,M,"Removed isResearch prop, simplified summary",Clean up telemetry footer,REFACTOR,NONE,LOW: Component simplification,YES,Removed isResearch conditional
1,frontend/src/components/Chat/ending.txt,A,Snippet of JSX with ThinkingCircle,Code snippet artifact,UNCLEAR,NONE,LOW: Code fragment,NO,Partial JSX with TestCircle
1,frontend/src/components/CommandPalette.tsx,M,"Added cloud provider models, key sync from backend","Extended model catalogue, backend key sync",FEATURE,"EXTERNAL-API,SECRETS",MEDIUM: Cloud model integration,YES,"CLOUD_PROVIDERS, get_cloud_key_status invoke"
1,frontend/src/components/Desktop/AdminPanel.tsx,M,Updated serve port from 8000 to 8010,Port configuration fix,CONFIG,NETWORK,LOW: Port number change,YES,"args: ['serve', '--port', '8010']"
1,frontend/src/components/Desktop/SettingsPanel.tsx,M,"Migrated to useAppStore, added API key field",Unified settings with main store,REFACTOR,"AUTH,SECRETS",MEDIUM: Settings architecture change,YES,"useAppStore, apiKey field, updateSettings"
1,frontend/src/components/Desktop/UpdateChecker.tsx,M,Removed VITE_OPENJARVIS_NO_UPDATER check,Simplified update check logic,CONFIG,NETWORK,LOW: Dev flag removed,YES,Removed noUpdater env check
